タイトル,特集名,制作年/国/時間,監督/出演,概要,上映スケジュール,料金,受賞歴,イベント情報
リュミエール,,1976年/フランス/1h42,監督・脚本：ジャンヌ・モロー 出演：ジャンヌ・モロー、ルチア・ボゼー、フランシーヌ・ラセット、キャロリーヌ・カルティエ、ブルーノ・ガンツ,サラ、ラウラ、ジュリエンヌ、キャロリーヌ。4人の「女優」たちの欲望、葛藤、そして連帯が鮮やかに描かれる監督第一作。モローが主演。タンゴを革新した作曲家アストル・ピアソラが音楽を担当。,2/8(土)、2/12(水)、2/14(金) 9:30〜(終11:15) 2/11(火・祝) 10:45〜(終12:30),,,
思春期,,1979年/フランス/1h34,監督・脚本：ジャンヌ・モロー 出演：レティシア・ショヴォー、シモーヌ・シニョレ、フランシス・ユステール、ジャック・ヴェベール、エディット・クレヴェール,戦争の影が迫る1939年。フランス中部の村で12歳のマリーが母、祖母と共に過ごした。マリーは村にやってきた若き医師に恋をするがーー。,2/9(日)、2/13(木) 10:45〜(終12:22) 2/10(月) 9:30〜(終11:07),,,
リリアン・ギッシュの肖像,,1983年/フランス/0h59,監督・脚本：ジャンヌ・モロー 出演：リリアン・ギッシュ、ジャンヌ・モロー,1983年の夏、ニューヨーク。サイレント映画期から活躍し、ハリウッドの頂点を極めたリリアン・ギッシュとの邂逅。「歴史的女優」との対話から、その生涯と映画への情熱に迫る至高のドキュメンタリー。,2/8(土)、2/12(水)、2/14(金) 11:25〜(終12:27) 2/9(日)、2/11(火・祝)、2/13(木) 9:30〜(終10:32) 2/10(月) 11:20〜(終12:22),,,
ジョイランド わたしの願い,,2022年/パキスタン/2h07,監督・脚本：サーイム・サーディク 出演：アリ・ジュネージョー、ラスティ・ファルーク,パキスタンの大都市ラホール。トランスジェンダー女性のダンサーに恋する夫、働き続けたい妻。若き夫婦が家族の愛と自分らしく生きたいという願いの間で揺れ動くー。,2/8(土)～2/14(金) 12：40～(終14：50),一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,カンヌ国際映画祭「ある視点」部門審査員賞・クィア・パルム賞,
ルート29,,2024年/日本/2h00,監督・脚本：森井勇佑『こちらあみ子』 原作：中尾太一「ルート29、解放」 音楽：Bialystocks 出演：綾瀬はるか、大沢一菜、河井青葉、渡辺美佐子、市川実日子,清掃員・のり子は仕事先の入院患者から娘ハルを連れてきてほしいと頼まれ…。姫路から鳥取まで１本道の国道29号線を進むのり子とハルのロードムービー。,2/8(土)～2/14(金) 15：05～(終17：10),一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,,★2/8(土)上映後、森井勇佑監督による舞台挨拶あり
西湖畔に生きる,,2023年/中国/1h58,監督・脚本：グー・シャオガン『春江水暖～しゅんこうすいだん』 出演：ウー・レイ、ジアン・チンチン,中国茶の産地に暮らす母と息子。茶摘みで生計を立てる母は、あるきっかけで違法ビジネスの闇に堕ち…。地獄に堕ちた母を救う仏教故事「目連救母」の現代版。,2/8(土)～2/14(金) 17：35～(終19：38),一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,アジア・フィルム・アワード 最優秀主演女優賞,
HAPPYEND,,2024年/日本・アメリカ/1h53/PG12,監督・脚本：空音央 出演：栗原颯人、日高由起刀、祷キララ、シナ·ペン、林 裕太、ARAZI 、中島歩、渡辺真起子、佐野史郎,X年後の日本。ありえるかもしれない未来を舞台に、高校生ユウタとコウの友情が揺らいでいくさまを独特なサウンドと繊細な映像美で描きだす青春映画。,2/8(土)～2/14(金) 19：50～(終21：48),一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,ヴェネツィア国際映画祭オリゾンティ・コンペティション部門正式出品,★2/12(水)上映後、空音央監督、栗原颯人さん、日高由起刀さん、林 裕太さんによる舞台挨拶あり！パンフレットご購入の方にサイン会を開催します。※登壇者は予告なく変更になる場合がございます。 ◆ガザ支援ポスター販売のお知らせ！ 空音央監督が、ガザにいる人々の支援に繋がるようにと自費で印刷した限定ポスターを、1枚1000円で販売します。 表面にはグラフィックデザイナーRayMasakiさんによる国際版ポスターデザインを、裏には映画をより深く知ってもらうために HAPPYENDの脚本執筆時に参考にした文献の引用文などが印刷されています。印刷代を差し引いた売上の全額がパレスチナのガザの人々に寄付されます。
ビバ・マエストロ！指揮者ドゥダメルの挑戦,,2022年/アメリカ/1h43,監督・製作・：テッド・ブラウン 出演：グスターボ・ドゥダメル,クラシック界の若き才能として注目される指揮者ドゥダメル。政治的混迷を極める祖国ベネズエラを追放されるも、世界各地で挑戦を続ける姿を追ったドキュメント。,2/15(土)～2/21(金) 9：30～(終11：18),一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,,
本日公休,,2023年/台湾/1h46,監督・脚本：フー・ティエンユー 出演：ルー・シャオフェン、フー・モンボー、ファン・ジーヨウ,常連が集う、台湾の町はずれの理髪店。ある日、店主のアールイは店を閉めて、ある人の髪を切りにゆく…。監督が自身の母親をモデルに描くヒューマンドラマ。,2/15(土)～2/21(金) 11：35～(終13：25),一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,台北電影奨 主演女優賞、助演男優賞,
アイミタガイ,,2024年/日本/1h45,監督・脚本：草野翔吾 出演：黒木華、中村蒼、藤間爽子、安藤玉恵、西田尚美、田口トモロヲ、風吹ジュン、草笛光子,ウェディングプランナーの梓は、亡くなった親友宛に日々メッセージを送り続けていた…。二人の関係を軸に、一期一会の連鎖が大きな輪になっていく群像劇。,2/15(土)～2/21(金) 13：35～(終15：25),一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,,
マミー,,2024年/日本/1h59,監督：二村真弘,98年和歌山毒物カレー事件の死刑囚、林眞須美は今も無実を訴えている。監督は事件を多角的に検証するが…。判決や当時の報道に異議を唱えるドキュメント。,2/15(土)～2/21(金) 15：35～(終17：39),一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,,★2/15(土)上映後、二村真弘監督の舞台挨拶あり
グレース,,2023年/ロシア/1h59,監督・脚本：イリヤ・ポヴォロツキー 出演：マリア・ルキャノヴァ、ジェラ・チタヴァ,移動映画館を続けながら放浪生活を送る父と娘。ソ連崩壊後、停滞感に覆われたロシア辺境を舞台に、思春期の不安を抱える少女の成長を追ったロードムービー。,2/15(土)～2/21(金) 18：00～(終20：04),一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,ストックホルム国際映画祭 最優秀撮影賞,★先着でポストカードをプレゼント！（数量限定）
ヴァラエティ,,1983年/アメリカ/1h40,監督・原案：ベット・ゴードン 脚本：キャシー・アッカー 音楽：ジョン・ルーリー 出演：サンディ・マクロード、ウィル・パットン、リチャード・デヴィッドソン、ルイス・ガスマン、ナン・ゴールディン、クッキー・ミューラー,タイムズ・スクエア近くのポルノ映画館「Variety」。チケットを売るクリスティーン（サンディ・マクロード）は、ある日一人の男性客と言葉を交わす。以来、彼女はその男を追いかけるようになる……。アルフレッド・ヒッチコック『めまい』(1958)に想を得た物語。,2/15(土)、17(月)、19(水)、21(金)20：15〜(終22：00),,,
